node_id_1,node_id_2,distance
7008,7015,387
7008,7016,457
7008,7017,505
7008,7018,561
7008,7019,431
7008,7020,534
7008,7021,585
7008,7022,691
7008,7023,577
7008,7024,680
7008,7025,730
7008,7026,855
7008,7027,721
7008,7028,826
7008,7029,877
7008,7030,1002
7008,7031,1032
7008,7032,868
7008,7033,972
7008,7034,1023
7008,7035,1147
7008,7036,1118
7008,7037,1169
7008,7038,1293
7008,7039,1264
7008,7040,1311
7009,7001,399
7009,7002,502
7009,7003,608
7009,7004,95
7009,7005,252
7009,7006,356
7009,7007,462
7009,7008,136
7009,7010,105
7009,7011,209
7009,7012,315
7009,7013,205
7009,7014,148
7009,7015,252
7009,7016,321
7009,7017,370
7009,7018,426
7009,7019,295
7009,7020,398
7009,7021,449
7009,7022,555
7009,7023,442
7009,7024,544
7009,7025,594
7009,7026,719
7009,7027,586
7009,7028,690
7009,7029,741
7009,7030,866
7009,7031,897
7009,7032,732
7009,7033,837
7009,7034,888
7009,7035,1011
7009,7036,982
7009,7037,1033
7009,7038,1158
7009,7039,1128
7009,7040,1176
7010,7001,294
7010,7002,397
7010,7003,503
7010,7004,200
7010,7005,147
7010,7006,251
7010,7007,357
7010,7008,534
7010,7009,105
7010,7011,104
7010,7012,210
7010,7013,307
7010,7014,250
7010,7015,147
7010,7016,216
7010,7017,265
7010,7018,321
7010,7019,397
7010,7020,293
7010,7021,344
7010,7022,450
7010,7023,545
7010,7024,439
7010,7025,489
7010,7026,614
7010,7027,690
7010,7028,585
7010,7029,636
7010,7030,761
7010,7031,792
7010,7032,832
7010,7033,732
7010,7034,783
7010,7035,906
7010,7036,877
7010,7037,928
7010,7038,1053
7010,7039,1023
7010,7040,1071
7011,7001,398
7011,7002,292
7011,7003,399
7011,7004,304
7011,7005,252
7011,7006,146
7011,7007,251
7011,7008,679
7011,7009,209
7011,7010,104
7011,7012,105
7011,7013,452
7011,7014,395
7011,7015,251
7011,7016,145
7011,7017,193
7011,7018,249
7011,7019,503
7011,7020,399
7011,7021,294
7011,7022,400
7011,7023,649
7011,7024,544
7011,7025,439
7011,7026,544
7011,7027,796
7011,7028,691
7011,7029,586
7011,7030,690
7011,7031,741
7011,7032,938
7011,7033,838
7011,7034,733
7011,7035,835
7011,7036,984
7011,7037,878
7011,7038,982
7011,7039,1130
7011,7040,1020
7012,7001,504
7012,7002,397
7012,7003,292
7012,7004,409
7012,7005,358
7012,7006,252
7012,7007,146
7012,7008,744
7012,7009,315
7012,7010,210
7012,7011,105
7012,7013,517
7012,7014,460
7012,7015,356
7012,7016,250
7012,7017,299
7012,7018,144
7012,7019,609
7012,7020,504
7012,7021,399
7012,7022,293
7012,7023,754
7012,7024,648
7012,7025,543
7012,7026,438
7012,7027,900
7012,7028,795
7012,7029,690
7012,7030,585
7012,7031,637
7012,7032,1041
7012,7033,941
7012,7034,835
7012,7035,730
7012,7036,1088
7012,7037,982
7012,7038,877
7012,7039,1232
7012,7040,1124
7013,7001,604
7013,7002,707
7013,7003,813
7013,7004,300
7013,7005,457
7013,7006,561
7013,7007,667
7013,7008,341
7013,7009,205
7013,7010,310
7013,7011,414
7013,7012,519
7013,7014,57
7013,7015,161
7013,7016,267
7013,7017,315
7013,7018,371
7013,7019,204
7013,7020,308
7013,7021,411
7013,7022,519
7013,7023,350
7013,7024,455
7013,7025,558
7013,7026,663
7013,7027,494
7013,7028,601
7013,7029,706
7013,7030,812
7013,7031,862
7013,7032,641
7013,7033,747
7013,7034,852
7013,7035,957
7013,7036,892
7013,7037,997
7013,7038,1104
7013,7039,1038
7013,7040,1140
7014,7001,544
7014,7002,648
7014,7003,752
