block_id,block_name,longitude_1,latitude_1,longitude_2,latitude_2,node_id_1,node_id_2,no_blocks,operational,distance_text,distance_value,duration_text,duration_value
616242,"Powell St (2400-2498)",37.8068929793,-122.4120911285,37.8070609535,-122.4121243211,7033,7034,2,3,"0.1 km",105,"1 min",25
616241,"Powell St (2401-2499)",37.8068728626,-122.412239992,37.8075538121,-122.4123757795,7033,7034,2,10,"0.1 km",105,"1 min",25
585031,"North Point St (301-399)",37.8066485617,-122.4124854154,37.8065550191,-122.4132428083,7029,7034,2,5,"0.1 km",146,"1 min",29
585032,"North Point St (300-398)",37.8068094951,-122.4122922953,37.8066425267,-122.413638101,7029,7034,2,9,"0.1 km",146,"1 min",29
325032,"Bay St (300-398)",37.8058780929,-122.4121444377,37.805714142,-122.4134479984,7030,7035,2,12,"0.1 km",145,"1 min",25
325031,"Bay St (301-399)",37.8057372762,-122.4120840877,37.8055642728,-122.4134540334,7030,7035,2,14,"0.1 km",145,"1 min",25
616231,"Powell St (2301-2399)",37.8059967813,-122.4120609535,37.8064242607,-122.4121484611,7034,7035,1,3,"0.1 km",106,"1 min",27
585022,"North Point St (200-298)",37.807015691,-122.4106376987,37.8068668276,-122.4118235767,7034,7037,1,17,"0.1 km",145,"1 min",24
664232,"Stockton St (2300-2398)",37.8070931402,-122.4104586602,37.8075769463,-122.4105552203,7036,7037,1,3,"0.1 km",106,"1 min",32
585012,"North Point St (100-198)",37.8072188694,-122.4090052303,37.8070790585,-122.4101156709,7037,7040,1,11,"0.1 km",143,"1 min",20
-1,null,0,0,0,0,7002,7003,0,0,NULL,NULL,NULL,NULL
-1,null,0,0,0,0,7003,7007,0,0,NULL,NULL,NULL,NULL
-1,null,0,0,0,0,7006,7007,0,0,NULL,NULL,NULL,NULL
-1,null,0,0,0,0,7008,7009,0,0,NULL,NULL,NULL,NULL
-1,null,0,0,0,0,7010,7011,0,0,NULL,NULL,NULL,NULL
-1,null,0,0,0,0,7006,7011,0,0,NULL,NULL,NULL,NULL
-1,null,0,0,0,0,7007,7012,0,0,NULL,NULL,NULL,NULL
-1,null,0,0,0,0,7011,7012,0,0,NULL,NULL,NULL,NULL
-1,null,0,0,0,0,7013,7014,0,0,NULL,NULL,NULL,NULL
-1,null,0,0,0,0,7011,7016,0,0,NULL,NULL,NULL,NULL
-1,null,0,0,0,0,7017,7018,0,0,NULL,NULL,NULL,NULL
-1,null,0,0,0,0,7012,7018,0,0,NULL,NULL,NULL,NULL
-1,null,0,0,0,0,7018,7022,0,0,NULL,NULL,NULL,NULL
-1,null,0,0,0,0,7032,7033,0,0,NULL,NULL,NULL,NULL
-1,null,0,0,0,0,7033,7036,0,0,NULL,NULL,NULL,NULL
-1,null,0,0,0,0,7037,7038,0,0,NULL,NULL,NULL,NULL
-1,null,0,0,0,0,7035,7038,0,0,NULL,NULL,NULL,NULL
-1,null,0,0,0,0,7036,7039,0,0,NULL,NULL,NULL,NULL
-1,null,0,0,0,0,7039,7040,0,0,NULL,NULL,NULL,NULL
